,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A)
0,0.0,-0.3562,-0.4008,0.2107,0.0233
1,0.466,-0.3603,-0.4073,0.2117,0.0231
2,0.699,-0.3722,-0.3953,0.206,0.0273
3,0.932,-0.3603,-0.2444,0.2054,0.0238
4,1.165,-0.3788,-0.3047,0.2048,0.0247
5,1.398,-0.4177,-0.2639,0.2097,0.0256
6,1.631,-0.3696,-0.3812,0.2078,0.0254
7,1.864,-0.3837,-0.3633,0.2105,0.0238
8,2.097,-0.3656,-0.2444,0.2117,0.0259
9,2.33,-0.3656,-0.356,0.2054,0.0257
10,2.563,-0.4382,-0.4448,0.2078,0.0248
11,2.796,-0.3796,-0.3268,0.207,0.0226
12,3.03,-0.3629,-0.1939,0.2101,0.0233
13,3.263,-0.3672,-0.3276,0.2146,0.0243
14,3.496,-0.3658,-0.3438,0.2136,0.0244
15,3.729,-0.3656,-0.1889,0.2107,0.0259
16,3.962,-0.3584,-0.3112,0.207,0.0229
17,4.195,-0.3771,-0.2656,0.2113,0.0263
18,4.428,-0.3492,-0.3877,0.2117,0.024
19,4.661,-0.3662,-0.3633,0.2078,0.0265
20,4.894,-0.3689,-0.3979,0.2097,0.0252
21,5.127,-0.3705,-0.3656,0.2093,0.027
22,5.36,-0.3573,-0.4052,0.2124,0.0243
23,5.593,-0.3606,-0.392,0.212,0.0256
24,5.826,-0.3705,-0.3833,0.2136,0.024
25,6.06,-0.3491,-0.3584,0.2093,0.0232
26,6.293,-0.4019,-0.3812,0.2087,0.0258
27,6.526,-0.3381,-0.334,0.2089,0.0224
28,6.759,-0.3623,-0.3408,0.2094,0.0257
29,6.992,-0.3621,-0.3356,0.2093,0.0239
30,7.225,-0.3562,-0.1841,0.2057,0.0251
31,7.458,-0.3843,-0.3829,0.2098,0.0237
32,7.691,-0.4019,-0.4529,0.2082,0.0244
33,7.924,-0.4201,-0.4381,0.2097,0.0262
34,8.157,-0.359,-0.3986,0.2132,0.0233
35,8.39,-0.3392,-0.3633,0.2105,0.0239
36,8.623,-0.3478,-0.3486,0.2058,0.0243
37,8.856,-0.3629,-0.395,0.2105,0.0236
38,9.09,-0.4131,-0.2525,0.2089,0.0239
39,9.323,-0.3639,-0.3014,0.2101,0.0247
40,9.558,-0.3696,-0.2232,0.2113,0.0254
41,9.791,-0.3713,-0.2167,0.2227,0.0515
42,10.024,-0.3066,-0.2313,0.2214,0.0456
43,10.257,-0.2632,-0.1955,0.2214,0.0443
44,10.49,-0.3307,-0.2542,0.2078,0.0513
45,10.723,-0.2156,-0.1825,0.2257,0.0551
46,10.956,-0.1918,-0.1857,0.2524,0.0569
47,11.189,-0.1486,-0.347,0.2342,0.0579
48,11.422,-0.217,-0.1098,0.2148,0.0612
49,11.655,-0.0337,-0.0552,0.2198,0.0583
50,11.888,0.0405,-0.1262,0.24,0.0558
51,12.121,-0.0348,-0.0896,0.2353,0.056
52,12.354,0.3887,-0.0715,0.2311,0.0594
53,12.588,0.3184,0.1466,0.2159,0.0592
54,12.821,0.5427,0.2069,0.221,0.0687
55,13.054,0.6321,0.3633,0.2488,0.0701
56,13.287,0.7201,0.4806,0.237,0.0852
57,13.52,0.7524,0.7462,0.2334,0.0726
58,13.753,1.0247,0.9983,0.2193,0.0857
59,13.986,1.3596,1.1437,0.2425,0.0792
60,14.219,1.6574,1.3066,0.2299,0.0804
61,14.452,2.0156,1.6697,0.2398,0.0874
62,14.685,2.101,1.7775,0.2472,0.0832
63,14.918,2.3853,1.9984,0.2408,0.0814
64,15.151,2.5703,2.283,0.2598,0.0845
65,15.384,2.9128,2.5,0.2462,0.0948
66,15.618,3.0491,2.5855,0.2575,0.0897
67,15.851,3.1655,2.7599,0.2559,0.1091
68,16.086,3.5171,2.8967,0.2315,0.1567
69,16.319,3.6878,3.172,0.2596,0.1524
70,16.552,4.0435,3.379,0.2563,0.188
71,16.785,4.3808,3.638,0.2817,0.1898
72,17.018,4.662,3.7895,0.2761,0.2022
73,17.251,4.7339,4.0583,0.2752,0.2049
74,17.484,5.1864,4.3585,0.2653,0.2393
75,17.717,5.6267,4.8192,0.2649,0.2612
76,17.95,6.0395,5.1061,0.2594,0.2911
77,18.183,6.5903,5.6484,0.2458,0.343
78,18.416,7.0154,6.0487,0.2524,0.3494
79,18.649,7.2099,6.2672,0.2478,0.3737
80,18.882,8.0239,6.7934,0.263,0.4454
81,19.116,8.7656,7.4824,0.289,0.4835
82,19.349,9.0246,7.7853,0.2604,0.5273
83,19.582,9.11,7.8021,0.2453,0.5347
84,19.815,9.0754,7.8422,0.2452,0.5381
85,20.048,9.0756,7.7485,0.2429,0.5087
86,20.281,9.0651,7.8372,0.2583,0.5255
87,20.514,9.0585,7.8724,0.2835,0.5475
88,20.747,9.0926,7.8317,0.2559,0.5269
89,20.98,9.0857,7.8634,0.2847,0.5373
90,21.213,9.0944,7.8305,0.2933,0.5573
91,21.446,9.0565,7.8615,0.2804,0.5376
92,21.679,9.0582,7.8945,0.2626,0.5351
93,21.912,9.1959,7.8747,0.2594,0.5407
94,22.146,9.2114,7.8841,0.2571,0.5334
95,22.379,9.2699,7.8489,0.2657,0.5439
96,22.614,9.1939,7.8288,0.2531,0.5174
97,22.847,9.2372,7.9946,0.2609,0.5368
98,23.08,9.2627,7.9301,0.3173,0.5123
99,23.313,9.2389,7.9494,0.2666,0.5341
100,23.546,9.2742,7.8891,0.248,0.5342
101,23.779,9.251,7.8741,0.2374,0.5411
102,24.012,9.2074,7.8657,0.2563,0.5371
103,24.245,9.2375,7.8389,0.2524,0.5424
104,24.478,9.1752,7.854,0.2586,0.5416
105,24.711,9.127,7.8657,0.2445,0.5196
106,24.944,9.2251,7.8446,0.2874,0.5387
107,25.177,9.2733,7.8911,0.2699,0.5364
108,25.41,9.1683,7.8389,0.2594,0.5415
109,25.644,9.2288,7.8489,0.3224,0.5141
110,25.877,9.2389,7.9845,0.2522,0.5321
111,26.11,9.2379,7.8841,0.2689,0.5389
112,26.343,9.1219,7.8539,0.2691,0.5517
113,26.576,9.236,7.8657,0.285,0.5287
114,26.809,9.2234,7.8843,0.2548,0.5303
115,27.042,9.1883,7.8928,0.2509,0.5272
116,27.275,9.1374,7.8894,0.2528,0.5272
117,27.508,9.1666,7.884,0.2559,0.522
118,27.741,9.22,7.8809,0.2961,0.5324
119,27.974,9.1752,7.8502,0.2711,0.531
120,28.207,9.1305,7.8996,0.2381,0.5232
121,28.44,9.1363,7.8803,0.2649,0.533
122,28.674,9.2716,8.0682,0.2689,0.5391
123,28.907,9.6146,8.3143,0.239,0.5733
124,29.142,9.6692,8.3815,0.2501,0.5762
125,29.375,9.7105,8.4613,0.2817,0.587
126,29.608,9.8909,8.4324,0.2431,0.5683
127,29.841,9.781,8.4324,0.2478,0.5861
128,30.074,9.7114,8.4314,0.2555,0.5754
129,30.307,9.8705,8.4274,0.237,0.5961
130,30.54,9.6732,8.4647,0.3002,0.5825
131,30.773,9.855,8.4291,0.2687,0.6019
132,31.006,9.8636,8.4503,0.2807,0.5942
133,31.239,9.7053,8.424,0.2454,0.5714
134,31.472,9.855,8.4596,0.2709,0.595
135,31.705,9.8929,8.4562,0.2516,0.5703
136,31.938,9.8,8.4518,0.2925,0.5916
137,32.172,9.9067,8.4197,0.2535,0.5746
138,32.405,9.9166,8.4833,0.2622,0.6026
139,32.638,9.9157,8.5302,0.2606,0.6007
140,32.871,9.917,8.4834,0.2461,0.6072
141,33.104,9.8126,8.4883,0.2571,0.5911
142,33.337,9.8688,8.4681,0.2661,0.5892
143,33.57,9.9119,8.4783,0.2738,0.6062
144,33.803,9.6933,8.4443,0.2893,0.5892
145,34.036,9.8843,8.5382,0.2528,0.5791
146,34.269,9.855,8.4884,0.2901,0.5735
147,34.502,9.8481,8.4894,0.2668,0.6069
148,34.735,9.917,8.4867,0.273,0.5871
149,34.968,9.7948,8.4461,0.2443,0.6069
150,35.202,9.8602,8.4647,0.2524,0.4797
151,35.435,9.7793,8.4398,1.6179,0.3286
152,35.67,9.8516,8.4579,2.8776,0.3301
153,35.903,9.9101,8.4324,3.4147,0.3325
154,36.136,9.9195,8.4291,3.5099,0.3266
155,36.369,9.7879,8.3578,3.793,0.3274
156,36.602,9.9195,8.3461,3.868,0.3367
157,36.835,9.769,8.2678,3.933,0.3343
158,37.068,9.7859,8.4749,3.9943,0.342
159,37.301,9.9221,8.3159,3.9818,0.3381
160,37.534,9.7948,8.2893,3.9247,0.3235
161,37.767,9.8083,8.2942,4.0625,0.3384
162,38.0,9.8602,8.2782,3.9216,0.3249
163,38.233,9.8051,8.3136,3.9943,0.3324
164,38.466,9.9325,8.292,3.9438,0.3107
165,38.7,9.8636,8.4104,3.9978,0.3376
166,38.933,9.886,8.3595,4.0178,0.3301
167,39.166,9.887,8.3461,3.9621,0.3393
168,39.399,9.8894,8.2763,3.9166,0.3178
169,39.632,9.8183,8.3136,3.8898,0.3174
170,39.865,9.8843,8.2899,3.9778,0.3265
171,40.098,9.8489,8.3612,3.9384,0.3243
172,40.331,9.8619,8.4223,3.9399,0.3333
173,40.564,9.8485,8.2911,4.0692,0.3259
174,40.797,9.7483,8.2774,4.0483,0.3295
175,41.03,9.898,8.2882,4.0005,0.3291
176,41.263,9.8757,8.2473,4.0603,0.3249
177,41.496,9.7053,8.3615,3.9644,0.316
178,41.73,9.8808,8.3136,3.9178,0.3301
179,41.963,9.7208,8.3544,3.944,0.3345
180,42.198,9.8206,8.3442,3.8556,0.3251
